Actual CPI,Forecast CPI
62.0,80.523884691711
61.2,80.52388469171098
61.1,80.52388469171098
62.2,80.52388469171098
64.0,80.523884691711
64.6,80.52388469171105
61.8,80.52388469171107
64.2,80.52388469171112
63.7,80.52388469171116
65.2,80.52388469171117
63.9,80.52388469171116
63.0,80.52388469171116
64.7,80.52388469171117
65.8,80.52388469171113
66.4,80.5238846917111
66.7,80.5238846917111
67.7,80.5238846917111
67.3,80.52388469171115
69.0,80.52388469171117
68.9,80.52388469171117
69.1,80.52388469171117
68.6,80.52388469171117
70.3,80.52388469171115
68.7,80.52388469171113
68.8,80.52388469171109
73.0,80.52388469171109
72.8,80.52388469171112
73.1,80.52388469171112
73.4,80.52388469171116
75.3,80.5238846917112
74.7,80.52388469171123
76.7,80.52388469171125
77.5,80.52388469171125
78.1,80.52388469171125
78.5,80.52388469171119
78.3,80.52388469171117
78.9,80.52388469171119
81.6,80.52388469171117
82.7,80.52388469171116
86.0,80.52388469171117
85.0,80.52388469171117
87.7,80.52388469171117
88.5,80.5238846917112
90.7,80.52388469171117
93.8,80.52388469171115
93.4,80.52388469171112
92.7,80.52388469171112
93.7,80.52388469171112
93.9,80.52388469171112
93.9,80.52388469171115
93.7,80.52388469171116
95.0,80.52388469171112
94.1,80.52388469171112
95.0,80.52388469171113
93.7,80.52388469171113
94.0,80.52388469171112
96.0,80.52388469171112
97.1,80.52388469171112
97.5,80.52388469171113
98.6,80.52388469171115
98.9,80.52388469171112
100.4,80.5238846917111
100.5,80.52388469171109
100.3,80.52388469171112
100.4,80.52388469171112
102.0,80.52388469171115
101.2,80.52388469171113
101.8,80.52388469171113
100.7,80.52388469171113
99.4,80.52388469171113
100.0,80.52388469171113
101.1,80.52388469171113
101.9,80.52388469171116
101.3,80.5238846917112
100.3,80.5238846917112
100.7,80.52388469171119
101.4,80.5238846917112
101.6,80.5238846917112
104.4,80.52388469171117
105.6,80.52388469171112
104.6,80.52388469171109
104.7,80.52388469171105
104.2,80.52388469171105
66.2,80.52388469171109
67.1,80.5238846917111
64.1,80.52388469171112
66.7,80.52388469171116
67.5,80.52388469171119
66.2,80.52388469171116
69.0,80.52388469171115
68.4,80.52388469171113
68.7,80.5238846917111
68.1,80.52388469171106
71.6,80.52388469171106
75.8,80.52388469171105
75.6,80.52388469171109
74.7,80.52388469171112
73.4,80.52388469171115
72.2,80.52388469171115
72.7,80.52388469171113
69.9,80.52388469171112
73.6,80.52388469171112
72.6,80.52388469171113
73.6,80.52388469171113
71.4,80.52388469171113
74.6,80.52388469171113
74.8,80.52388469171112
74.2,80.52388469171109
75.5,80.52388469171107
75.5,80.52388469171106
74.2,80.52388469171103
74.4,80.523884691711
72.8,80.52388469171102
76.2,80.52388469171103
74.5,80.52388469171107
74.9,80.5238846917111
71.2,80.52388469171112
77.3,80.52388469171112
78.1,80.52388469171112
78.4,80.5238846917111
78.1,80.52388469171112
79.1,80.52388469171112
76.1,80.52388469171112
77.0,80.52388469171113
79.5,80.52388469171116
81.6,80.52388469171116
79.7,80.52388469171116
81.8,80.52388469171116
76.8,80.52388469171115
81.0,80.52388469171115
82.9,80.52388469171113
83.8,80.52388469171109
84.7,80.52388469171106
83.7,80.52388469171106
81.2,80.52388469171106
82.1,80.52388469171112
82.1,80.52388469171112
83.0,80.52388469171112
84.3,80.52388469171113
84.3,80.52388469171115
82.1,80.52388469171116
74.3,80.52388469171115
86.9,80.52388469171115
85.1,80.52388469171112
85.3,80.5238846917111
85.4,80.52388469171109
85.3,80.52388469171106
85.5,80.52388469171106
87.0,80.52388469171106
86.4,80.52388469171106
89.5,80.52388469171109
87.9,80.52388469171112
86.7,80.52388469171115
88.0,80.52388469171116
88.3,80.52388469171117
88.3,80.52388469171117
